,user_name,user_description,text,hashtags,source
330,Rick Rollup,Just here for the memes,@bennash @Jason Maybe Adidas will sign a Yeezys deal with non-antisemitic AI Kanye,,Twitter for iPhone
331,Str4ngeThing | SR 💎,"FEATURED IN: VOGUE, Complex, HYPEBEAST + More. | Ai Artist of fashion (Mandela Effect) | https://t.co/f2poZlGrD2 | MAIF | 
 🍷👁🖤","@sygmod The concepts are cuts, use of materials, colourways. The dispute is not the logo or being able to devlope a concept. 

Hundreds each day use it to create concepts for  Nike, using a distinct style, and I am a fan of many who do.",,Twitter for Android
332,Magico.,SFA Alum | Chances make champion | 🪂 @threadedww,@AyoooNick He was 5-8 at that time RELAX,,Twitter for iPhone
333,TheRealNomics 😼🚀,CNBC Featured Analyst | Trader | Decentralized Fund Architect | Artist | Host | Web 3 🕸️ | CloneX #8772 #6564 😽💜💙 Discord https://t.co/NmFxipV7Qv,@Jmillz849 @RTFKT @Nike We do what we can even if they don’t understand it will enough 2 respect it 😸👍,,Twitter for iPhone
334,Shout out mental illness,Drugs Sluts Violence,I just do it like Nike 💀,,Twitter for iPhone
335,WTM JUNKIE,яʀ,i got so much adidas shit can they sponsor me😒,,Twitter for iPhone
336,Llorona,,@AnheuserBusch @CocaCola_GB @Nike @Tampax  Pedo pushers. https://t.co/jxBv9whFLk,,Twitter for iPhone
337,Marcus Bordeaux,"Sports ⚾️ 🏀⚽️🏈& Sneakers 👟 
snkrs, nike app, goat, shiek","A little Photon Dust never hurt nobody..
#wdywt #kotd #Jordan #jordan4 #crafts #sneakerhead #nike https://t.co/3EwMmYskQP","['wdywt', 'kotd', 'Jordan', 'jordan4', 'crafts', 'sneakerhead', 'nike']",Twitter for Android
338,Joseph H,"I am an average ""JOE"" and a family man.","@Ashcryptoreal Lucky I didn't listen and DCA into $BTC not waiting for that 12k prediction.
Also. I'm supporter for banning bud light and nike. Help us.
We must draw the line https://t.co/LdyyBd5AV8",,Twitter for Android
339,Jamaal Al-Din,Jamaal Al-Din's Hoops 227 (227's™ YouTube Chili' Technology Spicy' NBA Mix) The World's #1 YouTube Sports TV Entertainment Blogger! https://t.co/lYxvRrlbmv,https://t.co/vx8dKr17Wl 227's YouTube Chili' Apple Technology #ApplePay #AppleWatch https://t.co/ZoyqPweQvo Spicy' https://t.co/tWyRwI00oL Spicy' NBA Mix! AirPods 4 Release Date and Price https://t.co/pHyuHa5cxp https://t.co/6tiGoPPyET,"['ApplePay', 'AppleWatch']",dlvr.it
340,Jamaal Al-Din,Jamaal Al-Din's Hoops 227 (227's™ YouTube Chili' Technology Spicy' NBA Mix) The World's #1 YouTube Sports TV Entertainment Blogger! https://t.co/lYxvRrlbmv,https://t.co/vx8dKr17Wl Is This Android's Answer to the 227's YouTube Chili' Apple Technology #ApplePay #AppleWatch https://t.co/ZoyqPweQvo Spicy' https://t.co/tWyRwI00oL Spicy' NBA Mix! Ecosystem? https://t.co/muiujDJWzl https://t.co/6tiGoPPyET,"['ApplePay', 'AppleWatch']",dlvr.it
341,For crying out loud!😩,😲😧😨,@netflix Trying to watch LIB Reunion LIVE proving more difficult than entering a raffle on NIKE Drop Day!! https://t.co/R58jwVcypf,,Twitter for iPhone
342,🇫🇷,Kylian Mbappé and Cristiano Ronaldo Enthusiast. @ManUtd | @Jaguars 🇨🇦,@Sir_Nike Really enjoy it bro,,Twitter for iPhone
343,rab·ble-rous·er /ˈrabəl ˌrouzər/,"dies irae, dies illa",@sowhydavid @Nike They squashed that story real quick,,Twitter for iPhone
344,𝙎𝙃𝙊𝙀𝙈𝘼𝙉𝙄𝘼𝙌💫 ​,"Release / News /
Sneaker Stores Affiliate 
#Shockdrop info & #Restock | #Nike #Jordan #Cookgroup Tweets. Follow us & Turn on notification🔔 ShoemaniaQ@gmail.com","Ad: Restock [US 9]: adidas Originals Gazelle Bold sneakers in pink and blue | https://t.co/LoKqv1gJzp | $96.00
- https://t.co/14ObDIH2LJ https://t.co/BFSmLDN98H",,Captain Sneakers by ShoemaniaQ
345,Natty Boy Jay🏆🏆,Just an obnoxious Georgia fan | 2021 & 2022 National Champions #GoDawgs | 2021 World Champions #ForTheA  229 🏚,@DznByQ Hell yeah,,Twitter for iPhone
346,Ed Young,,Hold Congressional Hearings on... #care2 https://t.co/2d0MGiO2Lh,['care2'],Twitter Web App
347,Joseph H,"I am an average ""JOE"" and a family man.","@rovercrc I think he dead. CIA got to him.
His seed phase die with him
Also. Help the movement.
Tell your follower to ban bud light and nike.. Help us.
We must draw the line. https://t.co/LuQD44dZgR",,Twitter for Android
348,my little yeezy,"VENOM STAN ACCOUNT
#TeamKakashi
#releasethesnydercut
Snyder head",@SirRifty praying for misty meadows 🙏,,Twitter Web App
349,Anthony,#dogearmy #keeppounding,@JustFreshKicks Anybody else’s Nike and SNKRS app been down the last two days?,,Twitter for iPhone
350,J Millz,Entrepreneur / Trader / Nebula 4,@TheRealNomics @RTFKT Unbelievable to witness this live and develop over the weekend. Great insights to market mechanics and stepping in to save a billion dollar brand. When @Nike sponsorship 🫡,,Twitter for iPhone
351,#SneakerScouts,"The #1 source for sneaker news, release dates, sales, and general information! info@SneakerScouts.com #SneakerScouts","#SneakerScouts The Nike Air Max 97 SE 'Father of Air' is now available via @footlocker! |$185| #ad @Nike 

&gt;&gt;&gt; https://t.co/xkXMQt81K9 https://t.co/FgbfzBs0k4","['SneakerScouts', 'ad']",Hootsuite Inc.
352,Billie Patterson,"I'M A CHRISTIAN, A TRUMP SUPPORTER, LIVE IN THE COUNTRY.MIDWEST IL IS WHERE I LIVE. HAVE BEEN MARRIED FOR 12 YRS TO A GREAT GUY.","Nike does something even worse than Bud Light with latest move, and kids are involved https://t.co/CiStS5TDYD",,Twitter Web App
353,fashion Style Trends,#fashion #Style #Trends #fashionstyle #hairstyle  #fashiondesign #moda #fashiontrend  #rtplease #beauty  #diet,The Campus 00s Is the adidas Samba’s Spiritual Sequel https://t.co/TjtCPV1Jw2 #fashion  #beauty https://t.co/iLWm4UQ34A,"['fashion', 'beauty']",SocialPilot.co
354,Coop.,IG: _TCoop_ 👟,My mama want some yeezy slides so that’s what she getting for Mother’s Day,,Twitter for iPhone
355,W0rldofapperal,Style,Nike sb jarritos collab is set to release next month will this be a cop? #fyp #explorepage #nike #panda #jordan #sneaker #sneakerhead #sneakernews #famous #feed #omg #lmao #weoutside #white #black #shoe #lmfao https://t.co/aYMqfoKWKr,"['fyp', 'explorepage', 'nike', 'panda', 'jordan']",Buffer
356,RandomNonsense,Don't be distracted by nonsense,@RedState Boycotts fizzle out.  Take the win now and move on.  Budweiser isn't a leftist company like Nike or Ben &amp; Jerry's.,,Twitter Web App
357,Jason McAllister,"Get busy tweeting, or get busy dying. Living that #SwooshLife",@AOC Poster we made and hung near Brett’s desk at Nike https://t.co/Wqz7g5lcIU,,Twitter for iPhone
358,1Way Is,I can’t trust ya,Adidas and Pharrell releasing they first shoe,,Twitter for iPhone
359,Joseph H,"I am an average ""JOE"" and a family man.","@heydave7 Totally make sense.
Dave... help us and tell your followers to ban bud light and nike. Do you really want this world to be like this...
We must draw the line. https://t.co/VLzOJpIGWJ",,Twitter for Android
360,Nacho Jesus,"Just a normal dude abiding by and obeying the laws of quantum physics in the multiverse. Also, be nice to me, I have powerful friends so there's that...",@Michaeldoge420 @TheKatsKid1 @memesus77 @gabriel_foti @tearsintherain1 @IamCelineMarie @QuantumFekT @StarshipDock @ALi3NKAT @watawatadayone @AndreMillaire @Lionelclone1 @PryZmRuleZZ @lottkaren54 @SpadersNFTs @Rajtwittz @DogeAccept @musicphantom69 @jewel_gardener @d1dave123 @dawnheartLRPS @sofakingdoge2nd @kym_head @YeshuaisSavior @PiaPanda96 @PleiadesPlZ @YadiraRussell9 @YOUniverse999 @MaximoBanksy @bugaloo_2 @13dogecoin @boozelee86 @h_artsNcrafts @MarshaW15161057 @codehurtsbrain @elonmusk @Tesla @Tesla_Megapack @Grimezsz @dogecoin @Nike @historydefined @HistoryInPics @NelsonMandela @YourHomeMars @SpaceX I said it in my head as if fisher price version talking toy Vincent price was glitching as real Vincent price was banging it in tantrum style,,Twitter for Android
361,Nike Service,"Athletes helping athletes, 7 days a week. Languages supported: English, Spanish, and French.","@IamEdwinEscobar Hey there! Meet us in DM with your Nike Member email, and any helpful screenshots of what you're seeing on your end. From there, we'll take a closer look! 📩 https://t.co/dsJjx1OYXB",,Sprinklr
362,GeorgePBurdell,conservative,"@arizona_melissa @CassandraRules ....except good, hardworking Americans work for literally every major corporation that we could ever target.  Do you think Nike or Coke is staffed by 100 % Cornell PhDs working on the factory floors?",,Twitter for iPhone
363,W0rldofapperal,Style,Pink Nike dunks have always been a hit will you cop? #fyp #explorepage #nike #panda #jordan #sneaker #sneakerhead #sneakernews #famous #feed #omg #lmao #weoutside #white #black #shoe #lmfao https://t.co/z6CymSPRYa,"['fyp', 'explorepage', 'nike', 'panda', 'jordan', 'sneaker', 'sneakerhead']",Buffer
364,Lucy ♡,“I’m comfortable using legal jargon in everyday life. I object!” | LAWtina ⚖️ | Dog momma to the Bark Knight 🐾,Waiting to be let in to this live reunion is reminding me of when I’m trying to cop new Jordan or Dunk drops. @Snkrs @nike can y’all help Netflix get it together with their servers 😩😩 #loveisblindlive,,Twitter for iPhone
365,Restock4Sure,"Subscribe for Free °beta°
Push notification with profitable products 👨‍🍳","Adidas US Restock: Adidas Samba Vegan Shoes - White

🇺🇸: https://t.co/6bYg0cpxoc

#Sneakers https://t.co/AYKgdu8n3b",['Sneakers'],Restock4S
366,S4S - Sneakers Restock 💯 FREE Service !,🔎 1st Ultimate Sneakers Finder 🤑👟 Compare +40k products price over 200 Shops | 🗓️ Calendar / 🔗 Links,"Adidas US Restock: Adidas Samba Vegan Shoes - White

🇺🇸: https://t.co/hUZ2w3TjFs

#Sneakers https://t.co/Jlj796E6XW",['Sneakers'],sneaks4sure
367,That Be me,crazy for coco puffs,Nike air https://t.co/HmrF6D7Wbi,,Twitter for Android
368,Shopping Alert 🇪🇸,"Compras en línea de electrónica, ropa y más.
@amazon #Amazon🇪🇸
as an Amazon Associate I earn from qualifying purchases","adidas Am WV Short - Shorts Hombre #Amazon🇪🇸
https://t.co/zjLPGEgHt0",['Amazon'],Shopping Alert ES
369,Raechee,"❤️🦾striving to help humanity , everyday ,forever 👍🤩🦾🔥❤️",@TheKatsKid1 @Michaeldoge420 @nachodelaheysus @gabriel_foti @tearsintherain1 @IamCelineMarie @QuantumFekT @StarshipDock @ALi3NKAT @watawatadayone @AndreMillaire @Lionelclone1 @PryZmRuleZZ @lottkaren54 @SpadersNFTs @Rajtwittz @DogeAccept @musicphantom69 @jewel_gardener @d1dave123 @dawnheartLRPS @sofakingdoge2nd @kym_head @YeshuaisSavior @PiaPanda96 @PleiadesPlZ @YadiraRussell9 @YOUniverse999 @MaximoBanksy @bugaloo_2 @13dogecoin @boozelee86 @h_artsNcrafts @MarshaW15161057 @codehurtsbrain @elonmusk @Tesla @Tesla_Megapack @Grimezsz @dogecoin @Nike @historydefined @HistoryInPics @NelsonMandela @YourHomeMars @SpaceX Beautiful 🙏🔥🫶,,Twitter for iPhone
370,sygmod.eth,If you’re a Web3 lawyer then I’m a Web3 lawyer,"@Str4ngeThing I love your work.
I also think the link is fairly distinct.
You both seem inspired by similar styles, an inspiration I probably share.
People making Nike derivs in general is obvi going to happen.
Not sure how I feel about the image being used as input. Grey area. Can see how itd… https://t.co/Ou5LsHiRel",,Twitter for iPhone
371,Grant Howell,,"@DrewHill_DM “Not surprised, one thing after another… the way my life is going”

Dude just signed a $200 million contract and signed a Nike deal. Then beat up a teenager and flashed a gun on IG live. I’m a die hard grizz fan… but it’s hard to feel sorry for you. 

Rub some dirt on it.",,Twitter for iPhone
372,iGrindTV,Music • News • Fashion • Entertainment • Culture • Exclusives • Lifestyle & More! https://t.co/RmO7it2931 https://t.co/FaZSbJoDlp https://t.co/XQb954BZ4j,"The Complex Sneakers Podcast: The Nike ‘Air’ Movie, Do Sneakerheads Love It Or Hate It? https://t.co/L87KdEh2kT #iGrindTV",['iGrindTV'],Twitter Web App
373,frugal this year david,I like things.,@Nike doubling down on supporting weirdo behavior https://t.co/CcImdCdXWo,,Twitter for Android
374,Emmy,Hola!,"Brett coming out with a new love is blind Nike shoe, where you buy a pair of shoes sight unseen and they don't match...or do they?",,Twitter Web App
375,YFL,,McDonald’s sponsored by Nike,,Twitter for iPhone
376,Eric,,@jordanbpeterson @Budweiser @Nike Is that Dylan?  Ouch.,,Twitter for iPhone
377,Joseph H,"I am an average ""JOE"" and a family man.","@rovercrc Wrong. I think $100 to $120k will be the next ATH. Unless @Bitboy_Crypto is correct. Super cycle than its $300k.
@Bitboy_Crypto and @CryptoWendyO @AltcoinDailyio tell your follower support the movement and ban bud light and nike.",,Twitter for Android
378,❀ 𝙎𝙖𝙞𝙬𝙞𝙡𝙡𝙯,staying out the way,Sketchers&gt;&gt;&gt;&gt;Jordans,,Twitter for iPhone
379,Fan Apparel and Souvenirs,"Fan Apparel and Souvenirs, Sports. Selected Items. Deals. Product Information. Daily Updated. (eBay Links)",New Phoenix Suns Nike 2021/22 City Edition Swingman Performance Shorts Men's XL https://t.co/QC1ENdLXey eBay https://t.co/1ad6U6FONJ,,dlvr.it
380,OLAS,"A Strong Supporter, Meow  We/Us/Our/Team/Party/Group/Bros Professional Artist KeyBoardWarrior Creator American Lyricist","@Michaeldoge420 @memesus77 @nachodelaheysus @gabriel_foti @tearsintherain1 @IamCelineMarie @QuantumFekT @StarshipDock @ALi3NKAT @watawatadayone @AndreMillaire @Lionelclone1 @PryZmRuleZZ @lottkaren54 @SpadersNFTs @Rajtwittz @DogeAccept @musicphantom69 @jewel_gardener @d1dave123 @dawnheartLRPS @sofakingdoge2nd @kym_head @YeshuaisSavior @PiaPanda96 @PleiadesPlZ @YadiraRussell9 @YOUniverse999 @MaximoBanksy @bugaloo_2 @13dogecoin @boozelee86 @h_artsNcrafts @MarshaW15161057 @codehurtsbrain @elonmusk @Tesla @Tesla_Megapack @Grimezsz @dogecoin @Nike @historydefined @HistoryInPics @NelsonMandela @YourHomeMars @SpaceX In the woods under the moon
Whispered tales of a ghostly tune
Dare you venture dare you roam
In the haunted woods far from home
Eerie shadows eerie sound
Whispers echo all around
Ghosts of old they still roam
In the haunted woods far from home
A flash of light a haunting sigh",,Twitter for Android
381,5th Member Of Jodeci 🏁,Fashion…Sneaker..Rap..Comic..Sports Enthusiast | Shot By AyooYeezy | #OmarWorld | #215📍| #JaqcoyWorld | #LakeShow | #GoBirds #FlyEaglesFly,My Chest Hurt 😭 https://t.co/vbq4KQLMa7,,Twitter for iPhone
382,PROMOLOUCAS 🤩,"As melhores promoções, cupons, bugs e descontos você encontra aqui. Ative as notificações! 🛍✨","Camiseta Nike Sportswear Club Masculina - Branco

Por R$ 62,99!

✨ Link: https://t.co/WVPTVh5qd2 https://t.co/O4fWOcpIjg",,Twitter for iPhone
383,George,• Comps and edits • JFT97 •,@NupeFiasco Could definitely see myself getting 3 of these. Nike have finally had a decent set,,Twitter for iPhone
384,PhillySports24/7,Opinionated Sports Enthusiast. Owner of several unrecognized world records. Never lost an argument I didn’t win. Sixers. Eagles. Phillies. Go Terps!,@Kansashoopschat @Jeff_Ermann Go watch the movie Air and you’ll soon figure soon who Addidas is and who Nike is in relation to this story. Crock Chalk,,Twitter for iPhone
385,Xanny Claus,$Watson893,@JoriiMin Shit baffling this man in a Nike tech,,Twitter for iPhone
386,Kicks Resale 👟,Tweeting nothing but shoe sales. I receive a commission from my partners. DM for details.,Nike Air Force 1 Bordeaux Moving Company DV0790-001 Men's New  #ad #sneakerhead  https://t.co/Ogm6C5zHEU,"['ad', 'sneakerhead']",kicksresale
387,Joseph H,"I am an average ""JOE"" and a family man.","@MattWalshBlog Yes. I totally agree with that. Keep on pushing and drawing the line.
Tell your followers to keep the ban on bud light and nike.
""A line must be drawn here"" https://t.co/cltkVWTHFG",,Twitter for Android
388,A. E.,"Humanities, Theatre, and Gender Studies Librarian |
💗💛💙💚🤍🖤  | Pan Aro |
she/her 
Opinions be mine.
Ask to DM","@justin_author Nike: relationship with butler changes, she's aro, and she still has a parent.
Abdona: has no genitalia but breast structures, is red, and has severed relationship w/ Gabriel
Malachi: has an abusive mother, plays the violin, attempted suicide",,Twitter for Android
389,W0rldofapperal,Style,Jordan 1 low bred toe set to release this fall cop or drop? #fyp #explorepage #nike #panda #jordan #sneaker #sneakerhead #sneakernews #famous #feed #omg #lmao #weoutside #white #black #shoe #lmfao https://t.co/0UBmQgmhoy,"['fyp', 'explorepage', 'nike', 'panda', 'jordan', 'sneaker']",Buffer
390,CMoney,"I put my thing down, flip it and reverse it",@ShitpostGate I don’t see Yeezy but I see Jay Z,,Twitter for iPhone
391,aaren,sumn slight,lola brooke is so aggressive in her raps i know she wear jordans with her dresses,,Twitter Web App
392,Phillyphill,,@GeeScottSr White people Jordans.,,Twitter for iPhone
393,Russ,Sneaker Enthusiast and Re-Seller Photographer - Activist,@AnthonyVickrey @SSBrandon @house_drift @SoleRetriever @avuinovic @benweiss @nikesb @Nike @nikestore Yeahhh boiiii,,Twitter for iPhone
394,Mariposa,"formerly Matias, main casual posting account. i'm a guy who does things and says stuff. DJ profile: @mariposamusicx",@nuggety Adidas compression pants under basketball shorts I swear by it,,Twitter for iPhone
395,Jason McAllister,"Get busy tweeting, or get busy dying. Living that #SwooshLife","@AOC I’m the admin assistant for Brett’s design team at Nike, and I’m searching for the best “Brett &amp; Tiffany” tweets to kick off our staff meeting next week. 

This will be one of them! 🤩

(Brett is an awesome co-worker, by the way. Very well liked and respected at the Swoosh.)",,Twitter for iPhone
396,The Humble Warrior,These posts contain affiliate links. The Humble Warrior receives a commission when items are purchased through these links. Thanks for shopping with me!,🏃🏻👟🔥 adidas Running Shoes 1/2 OFF   https://t.co/Vrx6M1yhQA #thwden041623 #ad https://t.co/kEawnquVUm,"['thwden041623', 'ad']",Twitter Web App
397,Lightning Basketball,"Lindenhurst Girls Varsity Basketball Coach. 
Associate Director of Long Island
Lightning. 
Long Island Lightning and Crown Lightning 2022-23-24 Head Coach","Lightning Flynn 2024 finished 1-3 with a 78-50 win over the riverside hawks. Tough loss to the Adidas sponsored Gauchos this morning . 
Many good performances this weekend in front of the college coaches. Back at it next week",,Twitter Web App
398,𝙎𝙃𝙊𝙀𝙈𝘼𝙉𝙄𝘼𝙌💫 ​,"Release / News /
Sneaker Stores Affiliate 
#Shockdrop info & #Restock | #Nike #Jordan #Cookgroup Tweets. Follow us & Turn on notification🔔 ShoemaniaQ@gmail.com","Ad: Nike Dunk Low
- https://t.co/fXCG04hY3E https://t.co/9RixAYMMfC",,Captain Sneakers by ShoemaniaQ
399,LL,Just here for the hypocrisy,"@thegr8juan_2 Good point, but I still won't buy Nike",,Twitter Web App
400,ULTRA MAGA ELITE,"Question everything especially if its from the government, media, or scientific community. No DMs🚫","@ClayTravis Everyone knows Nike is woke, with Bud all their costumers are probably not",,Twitter for iPhone
401,ℓσgαη,just a girl who loves (drum n) bass music. she/her,"I work right next to Nike HQ and one of my regulars works with Brett from #LoveIsBlindS4 and he was telling me that everything we see about him is just who he is as a person and he’s actually  that wonderful and loved. 🥲🥹 
More men need to be like Brett",['LoveIsBlindS4'],Twitter for iPhone
402,𝙎𝙃𝙊𝙀𝙈𝘼𝙉𝙄𝘼𝙌💫 ​,"Release / News /
Sneaker Stores Affiliate 
#Shockdrop info & #Restock | #Nike #Jordan #Cookgroup Tweets. Follow us & Turn on notification🔔 ShoemaniaQ@gmail.com","Ad: Nike Dunk Low
- https://t.co/fXCG04hY3E https://t.co/Ieb6v445il",,Captain Sneakers by ShoemaniaQ
403,𝙎𝙃𝙊𝙀𝙈𝘼𝙉𝙄𝘼𝙌💫 ​,"Release / News /
Sneaker Stores Affiliate 
#Shockdrop info & #Restock | #Nike #Jordan #Cookgroup Tweets. Follow us & Turn on notification🔔 ShoemaniaQ@gmail.com","Ad: Nike Dunk Low
- https://t.co/fXCG04hY3E https://t.co/azeZNXbpQw",,Captain Sneakers by ShoemaniaQ
404,Get Off Social Media,Early Doors 🚪,Brett forgot his matching Jordans OBVIE #LOVEISBLINDreunion #LoveisBlind4,"['LOVEISBLINDreunion', 'LoveisBlind4']",Twitter for iPhone
405,roy  w,"Born &raised in Florida Brewton Alabama.Conservative Rep. ✝️ God Family & My S/Carolina Wife! NRA Cars,Harley's &Coins.God Bless USA! I DO NOT BUY FOLLOWERS!",@Texasgirlkiwi 5 billion and counting. They thought they could push this on the people like our government but it failed! Now I hope Nike gets a taste of lost finances for choosing a man to wear their new sports bra’s over real women. Jack Daniels has also teamed up with drag queens Rue Paul https://t.co/RQe5QOrWGR,,Twitter for iPhone
406,David Castle 🇺🇸 🇪🇸,"Train muay thai & boxing. Love sports, cars, books, and comics. FC Barcelona es mi primer amor 🧡 . ❤️ Houston Rockets 🚀",Nike USA Dream Team Commercial 1992 https://t.co/7vB1o6qkqS via @YouTube,,Twitter for iPhone
407,W0rldofapperal,Style,The Nike sb jewels are going to be a set with a high and low which one do you like best ? #fyp #explorepage #nike #panda #jordan #sneaker #sneakerhead #sneakernews #famous #feed #omg #lmao #weoutside #white #black #shoe #lmfao https://t.co/kIjQdFB2qy,"['fyp', 'explorepage', 'nike']",Buffer
408,XenⓧRich,Man of God. Drink @vosswater minting $XEN...#1 DJ Host for XEN RADIO broadcast around the world 🌎  on ⚡️@boltplus⚡️,My favorite all time Jordans 🦶❤️❤️🥺 https://t.co/3CxVhJ0eGu,,Twitter for iPhone
409,TheLuits,"mom, wife, friend, daughter of God, teacher, scientist.","@DavidErickson23 @CNN I think Nike’s boycott is a ‘soft’ one. It’s not stuff you buy frequently like many beer drinkers, but I think when faced with all the options when buying sports gear, people will be more inclined to look at other brands. Their revenue will likely suffer incrementally long term.",,Twitter for iPhone
410,Joseph H,"I am an average ""JOE"" and a family man.","@pearlythingz Yes, totally. It seem that way. I support your words.
Please tell your follower to keep on pushing the ban for bud light and nike.
""A line must be drawn here"" https://t.co/kVWSTD4IIf",,Twitter for Android
411,Blu Apparel,,"Check out this listing I just added to my #Poshmark closet: NIKE AIR PEGASUS 2016 -USA Track &amp; Field, red/white/blue, size 9. https://t.co/BzJoPXMLC8 #shopmycloset @poshmarkapp",['Poshmark'],Poshmark
412,Bruno Carvalho,"Christ is king. Accept Him while you're still alive, THERE IS TIME. He is coming, really soon, and is waiting for you. 🇧🇷 (English, Portuguese).","@oskararnarson @jordanbpeterson @Budweiser @Nike If you win your life mocking minorities, you cant blame others for mocking the minority you're in.

Right?",,Twitter Web App
413,THIERRY LEBEAU,"Originally Liege,BE. I’m progressive and care about the disenfranchised in our great country. POC,LBGQT,IMMIGRANTS,UNDEREMPLOYED,HOMELESS/IMPOVERISHED","@Super70sSports Making tracks in Trax from Kmart.

Yes I was bullied until I was 14yo in 1979 getting my first pair of Carolina blue/white Nike’s (pronounced like bike)",,Twitter for iPhone
414,Free Nike Monitor,"Automated twitter feed providing updates for Nike/SNKRS.
Join the free discord for more monitors and faster updates.
Provided by Sneaker Scout.","🔹 Nike Free RN 2018
🔹 Black/White
Price: $ 79.97
SKU: 942837-001

April 16, 08:31 PM EST
Link to purchase: https://t.co/yPlhdHKq9N",,sneaker monitor bot
415,Zo,#NT 🌍 TEXAS,@Cmoneymontana @Nike @nikestore Was thinking this the other day. It might’ve lost one of those polls recently,,Twitter for iPhone
416,W0rldofapperal,Style,Concepts is releasing a limited white lobster variant are these a cop? #fyp #explorepage #nike #panda #jordan #sneaker #sneakerhead #sneakernews #famous #feed #omg #lmao #weoutside #white #black #shoe #lmfao https://t.co/Bv4B4nAlC0,"['fyp', 'explorepage', 'nike', 'panda', 'jordan']",Buffer
417,VoteTUSC,Middle Path. Extremists are bad people and horrible Muslims. We live in difficult times don't be too hard on yourselves. May Allah keep us on the straight path,@SaveSJarrah @MemberMimou Sponsored by @puma and @EUinIsrael,,Twitter for Android
418,Sneaker Huddle,#1 source for Sneaker Releases & News ⚡️ Tweets may contain affiliate links.,"Ad: FEW SIZES: Air Jordan 1 Retro High OG at $144 use code MOMSDAY   

Gorge Green
https://t.co/E3PeuRc5Di

True Blue
https://t.co/trqFFvQOO4 https://t.co/IIBw3pPrHM",,Twitter Web App
419,Alpha🐺,Senior Data Science Engineer at https://t.co/5fTZBed7Lo | 📉Pattern Trading Enthusiast📈 | Mega-Cap & Macro Analyst | Quant Finance Aficionado | Opinions ≠ Advice,"Sales vs Margins: With companies cutting prices to boost consumer spending in a slowing economy, concerns about profit margins are growing. Firms like $TSLA, Levi Strauss &amp; Co., and Nike have already seen margin pressure in Q1. #salesvsmargins https://t.co/fJ6jBMM4Z6",,Twitter Web App
420,Edwin Escobar,SiriusXM🎙Syracuse University 🍊 NYC/D.C📍Personal page 🙂,@Nike the app is broken. 😥,,Twitter Web App
421,m o m m y,SnapChat👻 : Minaj_Monroe,The way I was just gone sneak this Nike set in his suitcase and let him find it on his own would’ve been the only sneaking going on.,,Twitter for iPhone
422,Bri 👩🏾‍💻,I help newbies gain tech skills to land their first tech role. || data scientist & data analyst. content creator. animal lover. shopaholic.,@KenyaDiggIT_ 😂😂😂 he work at Nike!,,Twitter for iPhone
423,✰Rivil✰,engaged to a filthy danish man 💕 follower of koko,"@justanoilworker @GhostFaceTeachr @JoJoFromJerz I mean how though? Conservatives are freaking out over some dumb beer company, nike, and a little flag on some lego store clerk

Liberals are awful though. We can both agree on that. Liberals aren’t leftists 🥱",,Twitter for iPhone
424,Chief Stikkity,“Everybody Love Everybody” -Jackie Moon #GirlDad #ELE,"@KoltaiKoby Id enjoy rocking a nice Nike Polo. They are comfy, durable and look presentable",,Twitter for iPhone
425,Belle,👣🌴🕊,"@Caitlyn_Jenner @DonaldJTrumpJr I don’t think this was a “paid partnership” with Budweiser. Whereas, Nike was definitely a paid partnership. https://t.co/Z3YqSqZhQl",,Twitter for iPhone
426,Ant,"#Charity♥️
Poker
Options Trader
Definitely not financial advice 🫣",Nike receiving more back lash for hiring a new influencer than all their sweatshops and modern day slavery going on 💀 ☠️  But you rock that Nike tech! https://t.co/R1V17vvn48,,Twitter Web App
427,David Wedding,"God Fearing, Gun Loving, Love of Country Conservative!
#MAGA #TRUMP2024","Nike does something even worse than Bud Light with latest move, and kids are involved https://t.co/Q3lOeHpAIW",,Twitter Web App
428,Donald Velte,"Reagan Scholar, Conservative Movement, PhD. #Friedman #Keynes #Mises #Hayek #Entrepeneur  #Business Owner The government is not here to help you.",@MammothNationUS BOYCOTT NIKE,,Twitter for Android
429,W0rldofapperal,Style,Nike sb jewels have bright colors will this be a cop or drop ? #fyp #explorepage #nike #panda #jordan #sneaker #sneakerhead #sneakernews #famous #feed #omg #lmao #weoutside #white #black #shoe #lmfao https://t.co/IRfz8jf51A,"['fyp', 'explorepage', 'nike', 'panda', 'jordan', 'sneaker']",Buffer
430,mr. roboto,go sports 🟣🟡⚜️,Nike slides are generational footwear. https://t.co/yLu59NMXHx,,Twitter for iPhone
431,Sneaker Drop,"Please read pinned tweet | Sneakers, Apparel, & More | Tag us in your sneaker pics #SneakerDrop 👟 | Sneaker Release Calendar https://t.co/ooYMXVOD1h 📆","ad: Air Jordan 7 Retro 'Cardinal' for only $168 with FREE shipping

use code MOMSDAY at checkout

BUY HERE -&gt; https://t.co/eUZ8OLCHxZ https://t.co/oKzBG1N8yP",,TweetDeck
432,Joseph H,"I am an average ""JOE"" and a family man.","@Cobratate Top G in the house...
Tell your follower ban Bud light and Nike",,Twitter for Android
